dialogue|tag|response
Superior cerebellar peduncle|brain|brain
Middle cerebellar peduncle|brain|brain
Inferior cerebellar peduncle|brain|brain
Interventricular foramen|brain|brain
Lateral ventricles|brain|brain
Third ventricle|brain|brain
Fourth ventricle|brain|brain
Choroid plexus|brain|brain
Arachnoid mater|brain|brain
Pia mater|brain|brain
Dura mater|brain|brain
Cerebrospinal fluid|brain|brain
Sylvian fissure|brain|brain
Central sulcus|brain|brain
Lateral sulcus|brain|brain
Parieto-occipital sulcus|brain|brain
Calcarine sulcus|brain|brain
Precentral gyrus|brain|brain
Postcentral gyrus|brain|brain
Superior frontal gyrus|brain|brain
Middle frontal gyrus|brain|brain
Inferior frontal gyrus|brain|brain
Superior parietal lobule|brain|brain
Inferior parietal lobule|brain|brain
Superior temporal gyrus|brain|brain
Middle temporal gyrus|brain|brain
Inferior temporal gyrus|brain|brain
Fusiform gyrus|brain|brain
Lingual gyrus|brain|brain
Occipital pole|brain|brain
Hippocampal formation|brain|brain
Dentate gyrus|brain|brain
Hippocampal dentate gyrus|brain|brain
Entorhinal cortex|brain|brain
Perirhinal cortex|brain|brain
Subiculum|brain|brain
Presubiculum|brain|brain
Parasubiculum|brain|brain
Temporal pole|brain|brain
Occipital lobe gyri|brain|brain
Frontal lobe gyri|brain|brain
Parietal lobe gyri|brain|brain
Temporal lobe gyri|brain|brain
Corpus striatum|brain|brain
Anterior cingulate cortex|brain|brain
Posterior cingulate cortex|brain|brain
Medial prefrontal cortex|brain|brain
Orbital frontal cortex|brain|brain
Dorsolateral prefrontal cortex|brain|brain
Ventrolateral prefrontal cortex|brain|brain
Medial temporal lobe|brain|brain
Lateral temporal lobe|brain|brain
Superior temporal sulcus|brain|brain
Inferior temporal sulcus|brain|brain
Posterior superior temporal gyrus|brain|brain
Anterior superior temporal gyrus|brain|brain
Posterior inferior temporal gyrus|brain|brain
Anterior inferior temporal gyrus|brain|brain
Brodmann areas|brain|brain
Precentral sulcus|brain|brain
Postcentral sulcus|brain|brain
Orbital gyri|brain|brain
Insular cortex|brain|brain
Cingulum bundle|brain|brain
Arcuate fasciculus|brain|brain
Optic radiation|brain|brain
Corticospinal tract|brain|brain
Corticobulbar tract|brain|brain
Anterior commissure|brain|brain
Posterior commissure|brain|brain
Mammillothalamic tract|brain|brain
Fornix fibers|brain|brain
Habenular nuclei|brain|brain
Nucleus accumbens|brain|brain
Ventral pallidum|brain|brain
Lateral geniculate nucleus|brain|brain
Medial geniculate nucleus|brain|brain
Subthalamic nucleus|brain|brain
Periaqueductal gray|brain|brain
Red nucleus|brain|brain
Substantia nigra|brain|brain
Ventral tegmental area|brain|brain
Tectum|brain|brain
Tegmentum|brain|brain
Pretectum|brain|brain
Pineal body|brain|brain
Hypothalamic nuclei|brain|brain
Thalamic nuclei|brain|brain
Pineal gland|brain|brain
Optic tract|brain|brain
Olfactory tract|brain|brain
Olfactory cortex|brain|brain
Entorhinal area|brain|brain
Perirhinal area|brain|brain
Superior colliculus|brain|brain
Inferior colliculus|brain|brain
Medial lemniscus|brain|brain
Lateral lemniscus|brain|brain
Tuber cinereum|brain|brain
Median eminence|brain|brain
Infundibulum|brain|brain
Pituitary stalk|brain|brain
Mammillary body|brain|brain
Pineal stalk|brain|brain
Corpus callosum|brain|brain
Septum pellucidum|brain|brain
Subiculum|brain|brain
Presubiculum|brain|brain
Para hippocampal gyrus|brain|brain
Transverse temporal gyrus|brain|brain
Lateral sulcus|brain|brain
Cerebum|brain|brain
Cerbrum|brain|brain
Seribrum|brain|brain
Serrebrum|brain|brain
Cerebelum|brain|brain
Cerabellum|brain|brain
Serebellum|brain|brain
Brainstem|brain|brain
Branstem|brain|brain
Brainstemm|brain|brain
Braine stem|brain|brain
Cortexx|brain|brain
Coretex|brain|brain
Kortex|brain|brain
Frontel lobe|brain|brain
Frontal loab|brain|brain
Parietal lobe|brain|brain
Paretal lobe|brain|brain
Parietell lobe|brain|brain
Temporel lobe|brain|brain
Temprol lobe|brain|brain
Temporal loab|brain|brain
Occipitle lobe|brain|brain
Occipetal lobe|brain|brain
Ocipital lobe|brain|brain
Hippocampus|brain|brain
Hippocampis|brain|brain
Hipocampus|brain|brain
Amygdlla|brain|brain
Amigdala|brain|brain
Amygdalea|brain|brain
Hypthalamus|brain|brain
Hypothlamus|brain|brain
Hypotalamus|brain|brain
Thallamus|brain|brain
Thalmas|brain|brain
Thalumus|brain|brain
Corpos callosum|brain|brain
Corpous callosum|brain|brain
Basl ganglia|brain|brain
Basal ganglyia|brain|brain
Basal gangliae|brain|brain
Medulla oblongotta|brain|brain
Medula oblangata|brain|brain
Medula oblongata|brain|brain
Ponnss|brain|brain
Ponss|brain|brain
Midbraen|brain|brain
Mibdrain|brain|brain
Midebrain|brain|brain
Peneal gland|brain|brain
Pienal gland|brain|brain
Penial gland|brain|brain
Pituetary gland|brain|brain
Pituitari gland|brain|brain
Pitutary gland|brain|brain
Ventrikles|brain|brain
Ventricals|brain|brain
Cerabral aqueduct|brain|brain
Cerebral aquiduct|brain|brain
Fornicks|brain|brain
Fornux|brain|brain
Olfactori bulb|brain|brain
Olfctory bulb|brain|brain
Olfacotry bulb|brain|brain
Optic chiams|brain|brain
Optic chiasam|brain|brain
Optik chiasm|brain|brain
Mamillary bodies|brain|brain
Mamillari bodies|brain|brain
Mammillory bodies|brain|brain
Brockas area|brain|brain
Brocha's area|brain|brain
Broka area|brain|brain
Wernick's area|brain|brain
Werenikes area|brain|brain
Warnickes area|brain|brain
Prefronal cortex|brain|brain
Prefrontal cortx|brain|brain
Prefrntal cortex|brain|brain
Motor cortx|brain|brain
Motr cortex|brain|brain
Sensoery cortex|brain|brain
Sensery cortex|brain|brain
Somato sensory cortex|brain|brain
Visual cortx|brain|brain
Visuel cortex|brain|brain
Audotory cortex|brain|brain
Auditory cortx|brain|brain
Limibic system|brain|brain
Limbic sytem|brain|brain
Cingulatt gyrus|brain|brain
Cinglate gyrus|brain|brain
Insul cortex|brain|brain
Insullar cortex|brain|brain
Superior collculus|brain|brain
Supeior colliculus|brain|brain
Inferior collculus|brain|brain
Inferiour coliculus|brain|brain
Striatom|brain|brain
Striatum|brain|brain
Globus pallidom|brain|brain
Globis pallidus|brain|brain
Substantia nigara|brain|brain
Substania nigra|brain|brain
Substanti nigra|brain|brain
Red nucleas|brain|brain
Red nuclus|brain|brain
Tegmentun|brain|brain
Tegmantum|brain|brain
Tegmentm|brain|brain
Cerebellar cortx|brain|brain
Cerabellar cortex|brain|brain
Cerebellum cortex|brain|brain
Arbor vitaee|brain|brain
Arbor vita|brain|brain
Arbor vittee|brain|brain
Superior cereballar peduncle|brain|brain
Superrior cerebellar peduncle|brain|brain
Inferior cerabellar peduncle|brain|brain
Interventrical foramen|brain|brain
Interventricular foramn|brain|brain
Lateral ventrikles|brain|brain
Laterl ventricles|brain|brain
Lateral venticles|brain|brain
Thirrd ventricle|brain|brain
Third venricle|brain|brain
Third ventrickle|brain|brain
Fourth ventricale|brain|brain
Fourrth ventricle|brain|brain
Fourth ventricul|brain|brain
Choriod plexus|brain|brain
Chroid plexus|brain|brain
Choroid pleux|brain|brain
Archnoid mater|brain|brain
Arachnoid marter|brain|brain
Arachoid mater|brain|brain
Pia mateer|brain|brain
Piia mater|brain|brain
Pia matar|brain|brain
Dura matter|brain|brain
Durra mater|brain|brain
Durra matter|brain|brain
Cerebrospial fluid|brain|brain
Cerebrospnal fluid|brain|brain
Cerebrospinil fluid|brain|brain
Sylvian fisure|brain|brain
Silvian fissure|brain|brain
Sylvain fissure|brain|brain
Central sulcs|brain|brain
Centrel sulcus|brain|brain
Centrall sulcus|brain|brain
Lateral sulcus|brain|brain
Laterel sulcus|brain|brain
Lateral sulks|brain|brain
Parieto occipital sulcus|brain|brain
Parieto occipetal sulcus|brain|brain
Precentrl gyrus|brain|brain
Precentral gyros|brain|brain
Precentrl gyrux|brain|brain
Postcentral gyrux|brain|brain
Postcentral gyros|brain|brain
Postcenral gyrus|brain|brain
Superior frontel gyrus|brain|brain
Superrior frontal gyrus|brain|brain
Superior frontel gyros|brain|brain
Middle frontel gyrus|brain|brain
Midle frontal gyrus|brain|brain
Middle frontal gyros|brain|brain
Inferior frontel gyrus|brain|brain
Inferior frontal gyros|brain|brain
Inferior frontl gyrus|brain|brain
Superior paretal lobule|brain|brain
Superior parietell lobule|brain|brain
Supperior parietal lobule|brain|brain
Inferior paretal lobule|brain|brain
Inferior pareitall lobule|brain|brain
Inferior parietal lobulle|brain|brain
Superior temporal gyrux|brain|brain
Superior tempral gyrus|brain|brain
Middle tempral gyrus|brain|brain
Midl temporal gyrus|brain|brain
Midlle temporal gyrus|brain|brain
Inferior tempral gyrus|brain|brain
Inferior tempral gyrux|brain|brain
Fusiform gyrus|brain|brain
Fusiform gyros|brain|brain
Lingual gyrux|brain|brain
Lingual gyros|brain|brain
Lingal gyrus|brain|brain
Occiptal pole|brain|brain
Ociptal pole|brain|brain
Occiptal gyrus|brain|brain
Hippocampal forrmation|brain|brain
Hippocampal formtion|brain|brain
Dentate gyrux|brain|brain
Dentate gyrux|brain|brain
Denttae gyrus|brain|brain
Entorhinal cortx|brain|brain
Entorinal cortex|brain|brain
Craniotomy|brain|brain
Craniectomy|brain|brain
Brain biopsy|brain|brain
Stereotactic surgery|brain|brain
Endoscopic brain surgery|brain|brain
Awake brain surgery|brain|brain
Skull base surgery|brain|brain
Brain removal|brain|brain
Glioma surgery|brain|brain
Meningioma surgery|brain|brain
Pituitary surgery|brain|brain
Aneurysm clipping|brain|brain
Aneurysm coiling|brain|brain
Hematoma evacuation|brain|brain
Deep brain stimulation|brain|brain
Ventriculostomy|brain|brain
Shunt surgery|brain|brain
VP shunt|brain|brain
Third ventriculostomy|brain|brain
Cavernoma surgery|brain|brain
Brain abscess drainage|brain|brain
Epilepsy surgery|brain|brain
Seizure focus resection|brain|brain
Cortical mapping|brain|brain
Functional neurosurgery|brain|brain
Laminectomy|brain|brain
Spinal fusion|brain|brain
Discectomy|brain|brain
Microsurgery|brain|brain
Radiosurgery|brain|brain
Gamma Knife|brain|brain
CyberKnife|brain|brain
Proton|brain|brain
AVM surgery|brain|brain
Arteriovenous malformation repair|brain|brain
Vascular malformation surgery|brain|brain
Skull reconstruction|brain|brain
Hemorrhage evacuation|brain|brain
Intracerebral hemorrhage surgery|brain|brain
Subdural hematoma surgery|brain|brain
Epidural hematoma surgery|brain|brain
Burr hole surgery|brain|brain
Stereotactic radiosurgery|brain|brain
Trigeminal neuralgia surgery|brain|brain
Microvascular decompression|brain|brain
Posterior fossa surgery|brain|brain
Transsphenoidal surgery|brain|brain
Transoral surgery|brain|brain
Brainstem surgery|brain|brain
Medulloblastoma surgery|brain|brain
Ependymoma surgery|brain|brain
Acoustic neuroma surgery|brain|brain
Schwannoma surgery|brain|brain
Brain cyst removal|brain|brain
Hydrocephalus surgery|brain|brain
Endoscopic third ventriculostomy|brain|brain
Intracranial pressure monitoring|brain|brain
Brain decompression|brain|brain
Pineal surgery|brain|brain
Skull fracture repair|brain|brain
Frontal lobe surgery|brain|brain
Temporal lobectomy|brain|brain
Occipital lobe surgery|brain|brain
Parietal lobe surgery|brain|brain
Suboccipital craniotomy|brain|brain
Cerebellar surgery|brain|brain
Brain herniation surgery|brain|brain
Neurosurgical|brain|brain
Neurosurgical resection|brain|brain
Neuronavigation|brain|brain
Brain mapping|brain|brain
Surgical neuronavigation|brain|brain
Image-guided surgery|brain|brain
Minimally invasive brain surgery|brain|brain
Intraoperative MRI|brain|brain
Intraoperative CT|brain|brain
Functional MRI|brain|brain
Functional brain mapping|brain|brain
debulking|brain|brain
Lesionectomy|brain|brain
Hemispherectomy|brain|brain
Hemispherotomy|brain|brain
Vagal nerve stimulation|brain|brain
Carotid endarterectomy|brain|brain
Brain revascularization|brain|brain
Superficial temporal artery bypass|brain|brain
Middle cerebral artery bypass|brain|brain
STA-MCA bypass|brain|brain
Extracranial-intracranial bypass|brain|brain
Aneurysm endovascular treatment|brain|brain
Flow-diverter stent placement|brain|brain
Aneurysm embolization|brain|brain
embolization|brain|brain
Endovascular surgery|brain|brain
Coiling surgery|brain|brain
Embolization|brain|brain
Catheter-based surgery|brain|brain
Flow-guided surgery|brain|brain
Glioblastoma resection|brain|brain
Skull base surgery|brain|brain
Brainstem glioma surgery|brain|brain
Thalamic surgery|brain|brain
Pineal region surgery|brain|brain
Intraventricular surgery|brain|brain
Central nervous system surgery|brain|brain
Pituitary adenoma surgery|brain|brain
Craniopharyngioma surgery|brain|brain
Hypophysectomy|brain|brain
Acoustic neuroma resection|brain|brain
Vestibular schwannoma surgery|brain|brain
Facial nerve preservation surgery|brain|brain
Bypass surgery for stroke|brain|brain
Moyamoya disease surgery|brain|brain
Embolization of AVMs|brain|brain
Radiosurgery for AVMs|brain|brain
Aneurysm coiling|brain|brain
Surgical repair of AVMs|brain|brain
Brain artery repair|brain|brain
Hemorrhagic stroke surgery|brain|brain
Ischemic stroke surgery|brain|brain
Clot removal surgery|brain|brain
Thrombectomy|brain|brain
Endovascular thrombectomy|brain|brain
Mechanical thrombectomy|brain|brain
Embolus removal|brain|brain
Clot retrieval surgery|brain|brain
Endovascular neurosurgery|brain|brain
Brain trauma surgery|brain|brain
Traumatic brain surgery|brain|brain
Cerebral contusion surgery|brain|brain
Diffuse axonal surgery|brain|brain
Brain swelling reduction surgery|brain|brain
ICP monitoring surgery|brain|brain
Intracranial monitoring|brain|brain
Shunt placement|brain|brain
CSF drainage surgery|brain|brain
Lumbar puncture|brain|brain
Intrathecal catheter insertion|brain|brain
Catheter-based brain surgery|brain|brain
Ventricular drain placement|brain|brain
Ventricular catheterization|brain|brain
External ventricular drain|brain|brain
EVD insertion|brain|brain
Subarachnoid hemorrhage repair|brain|brain
Intracerebral hemorrhage evacuation|brain|brain
Brain aneurysm repair|brain|brain
Endovascular coiling|brain|brain
Balloon-assisted coiling|brain|brain
Stent-assisted coiling|brain|brain
Brain endovascular|brain|brain
Minimally invasive neurosurgery|brain|brain
Robotic brain surgery|brain|brain
Robotic-assisted neurosurgery|brain|brain
Robotic craniotomy|brain|brain
Robotic removal|brain|brain
Computer-assisted neurosurgery|brain|brain
Awake craniotomy|brain|brain
Awake surgery|brain|brain
Brain stimulation surgery|brain|brain
Deep brain surgery|brain|brain
Cortical stimulation|brain|brain
Electrocorticography (ECoG)|brain|brain
Brain monitoring surgery|brain|brain
Electrode implantation|brain|brain
